"filename", "language", "Rust", "comment", "blank", "total"
"/Users/hakeen/Learning/blockchain_mini/src/Miner/miner.rs", "Rust", 33, 6, 21, 60
"/Users/hakeen/Learning/blockchain_mini/src/Validation/transactionValidation.rs", "Rust", 1, 0, 0, 1
"/Users/hakeen/Learning/blockchain_mini/src/crates/Utility/src/lib.rs", "Rust", 13, 0, 9, 22
"/Users/hakeen/Learning/blockchain_mini/src/crates/Utility/src/utility.rs", "Rust", 25, 1, 7, 33
"/Users/hakeen/Learning/blockchain_mini/src/elementals/node.rs", "Rust", 4, 0, -1, 3
"/Users/hakeen/Learning/blockchain_mini/src/elementals/transaction.rs", "Rust", 10, 2, -1, 11
"/Users/hakeen/Learning/blockchain_mini/src/main.rs", "Rust", 1, 0, 0, 1
"Total", "-", 87, 9, 35, 131
